sample	stat	space	simu	reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA3136628	Lost_abundance	gtdb207	refKrak	0.0	0.0007865562036832	0.0	0.0	0.0
SAMEA3136628	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0061349693251533	0.0	0.0	0.0
SAMEA3136662	Kept_abundance	gtdb207	refKrak	1.0000000000000002	0.99456119088491	1.0	1.0	1.0
SAMEA3136662	Kept_mOTUs	gtdb207	refKrak	360.0	344.0	299.0	118.0	533.0
SAMEA3136662	Raw_mOTUs	gtdb207	refKrak	360.0	346.0	299.0	118.0	533.0
SAMEA3136662	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA3136662	Lost_abundance	gtdb207	refKrak	-2.220446049250313e-16	0.0054388091150898	0.0	0.0	1.1102230246251563e-16
SAMEA3136662	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0057803468208092	0.0	0.0	0.0
SAMEA3136731	Kept_abundance	gtdb207	refKrak	1.0	0.9997627313073788	1.0	1.0	1.0
SAMEA3136731	Kept_mOTUs	gtdb207	refKrak	549.0	513.0	443.0	165.0	701.0
SAMEA3136731	Raw_mOTUs	gtdb207	refKrak	549.0	514.0	443.0	165.0	701.0
SAMEA3136731	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA3136731	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0002372686926213	0.0	0.0	0.0
SAMEA3136731	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0019455252918287	0.0	0.0	0.0
SAMEA3136722	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0	1.0
SAMEA3136722	Kept_mOTUs	gtdb207	refKrak	247.0	174.0	162.0	92.0	440.0
SAMEA3136722	Raw_mOTUs	gtdb207	refKrak	247.0	174.0	162.0	92.0	440.0
SAMEA3136722	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136722	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0	0.0	0.0	1.1102230246251563e-16
SAMEA3136722	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467082	Kept_abundance	gtdb207	refKrak	0.9999999999999998	1.0	1.0	1.0	1.0000000000000002
SAMEA2467082	Kept_mOTUs	gtdb207	refKrak	485.0	348.0	257.0	109.0	546.0
SAMEA2467082	Raw_mOTUs	gtdb207	refKrak	485.0	348.0	257.0	109.0	546.0
SAMEA2467082	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467082	Lost_abundance	gtdb207	refKrak	2.220446049250313e-16	0.0	1.1102230246251563e-16	0.0	-2.220446049250313e-16
SAMEA2467082	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2466918	Kept_abundance	gtdb207	refKrak	1.0	0.9997177790599876	1.0	1.0	1.0
SAMEA2466918	Kept_mOTUs	gtdb207	refKrak	542.0	499.0	431.0	180.0	661.0
SAMEA2466918	Raw_mOTUs	gtdb207	refKrak	542.0	500.0	431.0	180.0	661.0
SAMEA2466918	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA2466918	Lost_abundance	gtdb207	refKrak	0.0	0.0002822209400122	0.0	0.0	0.0
SAMEA2466918	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.002	0.0	0.0	0.0
SAMEA3136638	Kept_abundance	gtdb207	refKrak	1.0	0.9988550916112148	1.0	1.0	1.0
SAMEA3136638	Kept_mOTUs	gtdb207	refKrak	503.0	467.0	405.0	157.0	632.0
SAMEA3136638	Raw_mOTUs	gtdb207	refKrak	503.0	469.0	405.0	157.0	632.0
SAMEA3136638	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA3136638	Lost_abundance	gtdb207	refKrak	0.0	0.0011449083887853	0.0	0.0	0.0
SAMEA3136638	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0042643923240938	0.0	0.0	0.0
