	space	simu	simulation	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA3136730	gtdb207	refKrak	450	649	166	360	343
SAMEA3136731	gtdb207	refKrak	519	701	161	460	437
SAMEA3136732	gtdb207	refKrak	569	785	176	507	495
SAMEA3136733	gtdb207	refKrak	455	648	159	398	382
SAMEA3136734	gtdb207	refKrak	508	690	211	453	451
SAMEA3136735	gtdb207	refKrak	319	472	118	280	274
SAMEA3136736	gtdb207	refKrak	421	616	142	369	357
SAMEA3136737	gtdb207	refKrak	371	548	138	339	327
SAMEA3136738	gtdb207	refKrak	584	723	176	521	514
SAMEA3136739	gtdb207	refKrak	522	695	179	447	438
SAMEA3136740	gtdb207	refKrak	495	672	172	405	383
SAMEA3136741	gtdb207	refKrak	540	708	184	476	454
SAMEA3136742	gtdb207	refKrak	524	867	162	446	424
SAMEA3136743	gtdb207	refKrak	558	814	163	506	488
SAMEA3136744	gtdb207	refKrak	416	520	123	353	345
SAMEA3136745	gtdb207	refKrak	349	466	128	307	294
SAMEA3136746	gtdb207	refKrak	665	967	197	586	574
SAMEA3136747	gtdb207	refKrak	343	649	118	306	286
SAMEA3136748	gtdb207	refKrak	369	640	136	330	314
SAMEA3136749	gtdb207	refKrak	491	718	150	436	404
SAMEA3136750	gtdb207	refKrak	389	698	106	326	298
SAMEA3136751	gtdb207	refKrak	574	759	159	508	489
SAMEA3136752	gtdb207	refKrak	614	782	189	543	526
SAMEA3136753	gtdb207	refKrak	448	747	140	399	380
SAMEA3136754	gtdb207	refKrak	626	914	160	554	526
SAMEA3136755	gtdb207	refKrak	493	832	166	468	431
SAMEA3136756	gtdb207	refKrak	510	842	154	478	444
SAMEA3136757	gtdb207	refKrak	517	659	179	445	437
SAMEA3136758	gtdb207	refKrak	283	580	100	245	225
SAMEA3136759	gtdb207	refKrak	598	888	185	535	502
SAMEA3136760	gtdb207	refKrak	587	989	176	517	491
SAMEA3136761	gtdb207	refKrak	558	712	188	444	413
SAMEA3136762	gtdb207	refKrak	447	572	134	352	333
SAMEA3136763	gtdb207	refKrak	604	707	202	455	415
SAMEA3136764	gtdb207	refKrak	466	781	142	408	371
SAMEA3136765	gtdb207	refKrak	358	548	129	262	240
SAMEA3136766	gtdb207	refKrak	405	795	134	346	305
SAMEA3136767	gtdb207	refKrak	437	772	142	383	355
SAMEA3136768	gtdb207	refKrak	225	367	84	139	118
SAMEA3136769	gtdb207	refKrak	296	763	114	253	227
SAMEA3178936	gtdb207	refKrak	341	624	123	303	288
SAMEA3178937	gtdb207	refKrak	573	692	167	497	492
SAMEA3178938	gtdb207	refKrak	489	659	172	425	416
SAMEA3178939	gtdb207	refKrak	422	637	153	375	365
SAMEA3178940	gtdb207	refKrak	304	513	115	277	267
SAMEA3178941	gtdb207	refKrak	416	676	151	385	366
SAMEA3178942	gtdb207	refKrak	366	582	129	324	312
SAMEA3178943	gtdb207	refKrak	590	801	196	544	505
SAMEA3178944	gtdb207	refKrak	530	715	155	476	464
SAMEA2466887	gtdb207	refMet4	259	533	122	237	230
SAMEA2466888	gtdb207	refMet4	213	528	90	193	188
SAMEA2466889	gtdb207	refMet4	300	586	105	267	243
SAMEA2466890	gtdb207	refMet4	236	573	102	216	206
SAMEA2466891	gtdb207	refMet4	215	575	105	206	192
SAMEA2466892	gtdb207	refMet4	220	468	106	208	196
SAMEA2466893	gtdb207	refMet4	189	504	96	182	167
SAMEA2466894	gtdb207	refMet4	166	508	79	146	138
SAMEA2466895	gtdb207	refMet4	192	533	81	165	161
SAMEA2466896	gtdb207	refMet4	115	411	64	114	103
SAMEA2466897	gtdb207	refMet4	264	533	109	238	231
