mOTU	msp
ref_mOTU_v3_00062	msp_0030:0.6814817703670122,msp_0157:0.12343708383522634,msp_1352:0.19508114579776148
ref_mOTU_v3_06370	msp_1019
ref_mOTU_v3_12054	msp_1793
ref_mOTU_v3_02392	msp_1028c
meta_mOTU_v3_13379	msp_1228
meta_mOTU_v3_12276	msp_0178
ref_mOTU_v3_07603	msp_0328
ref_mOTU_v3_00853	msp_0045
meta_mOTU_v3_13690	msp_0793
ref_mOTU_v3_03342	msp_0065:0.12872149018051204,msp_0141:0.871278509819488
meta_mOTU_v3_13962	msp_0768
ext_mOTU_v3_17769	msp_0027:0.02079877058484536,msp_0264:0.006932923528281788,msp_0316:0.972268305886873
ext_mOTU_v3_17616	msp_0046
meta_mOTU_v3_13088	msp_0989
meta_mOTU_v3_12393	msp_0537:0.4130113356333169,msp_1837:0.5869886643666831
meta_mOTU_v3_12650	msp_0222:0.31226186352615176,msp_1189:0.6877381364738483
ref_mOTU_v3_03435	msp_0044
ext_mOTU_v3_16296	msp_1250
ext_mOTU_v3_24929	msp_0089:0.0036977670832851538,msp_0214:0.03351599776294418,msp_0326:0.009179926778068448,msp_0381:0.02638643868103008,msp_0417:0.045016082664421274,msp_0537:0.003149947095587046,msp_0543c:0.0012644881716216486,msp_0849:0.21915555445584406,msp_1209:0.39874239757129004,msp_1618:0.24541498989994837,msp_1837:0.014476409835959705
ref_mOTU_v3_07739	msp_0955
meta_mOTU_v3_13897	msp_1389
ext_mOTU_v3_18276	msp_1668
meta_mOTU_v3_12539	msp_1417
meta_mOTU_v3_12419	msp_1131
ext_mOTU_v3_26813	msp_1824
meta_mOTU_v3_12609	msp_0066
meta_mOTU_v3_13561	msp_0846
ref_mOTU_v3_03616	msp_0872:0.04411693880869034,msp_1005:0.9558830611913097
meta_mOTU_v3_13034	msp_0023:0.03529484925529882,msp_0061:0.9647051507447012
meta_mOTU_v3_13898	msp_0508
ref_mOTU_v3_03627	msp_0970
ref_mOTU_v3_06110	msp_0301
ref_mOTU_v3_07689	msp_1112
ext_mOTU_v3_17420	msp_1182
ext_mOTU_v3_15441	msp_0396
ref_mOTU_v3_05237	msp_0370
meta_mOTU_v3_12288	msp_0477
ref_mOTU_v3_05275	msp_1457
ref_mOTU_v3_04300	msp_0110
meta_mOTU_v3_12791	msp_0078
ext_mOTU_v3_18071	msp_1705
ext_mOTU_v3_17890	msp_0644
meta_mOTU_v3_13514	msp_1291
meta_mOTU_v3_12279	msp_0199
meta_mOTU_v3_12641	msp_1004
ext_mOTU_v3_17941	msp_0829
ref_mOTU_v3_03607	msp_0578
ref_mOTU_v3_11910	msp_0801
meta_mOTU_v3_12401	msp_0548
ext_mOTU_v3_17686	msp_1082
ref_mOTU_v3_02136	msp_0455
meta_mOTU_v3_13286	msp_0151
meta_mOTU_v3_12434	msp_0576
ext_mOTU_v3_26416	msp_1062:0.16637901277183292,msp_1323:0.833620987228167
meta_mOTU_v3_12653	msp_0162
ext_mOTU_v3_17574	msp_1142
ext_mOTU_v3_17417	msp_0255
meta_mOTU_v3_12655	msp_0771
ref_mOTU_v3_07713	msp_0823
ref_mOTU_v3_01597	msp_0010
meta_mOTU_v3_12811	msp_0149
ext_mOTU_v3_17988	msp_0813
ext_mOTU_v3_17522	msp_1465
meta_mOTU_v3_13400	msp_1159
ext_mOTU_v3_17672	msp_0823
ext_mOTU_v3_17813	msp_0870:0.34277939091200776,msp_1000:0.6572206090879922
ref_mOTU_v3_03668	msp_0506
ref_mOTU_v3_01061	msp_1264c
ref_mOTU_v3_07681	msp_0427
ref_mOTU_v3_00099	msp_0157:0.18382841141999362,msp_0544c:0.8161715885800064
ref_mOTU_v3_02383	msp_1158
ref_mOTU_v3_03694	msp_0852
ref_mOTU_v3_07736	msp_0447
ext_mOTU_v3_17655	msp_1834
ext_mOTU_v3_18123	msp_0933
ext_mOTU_v3_17577	msp_1019
meta_mOTU_v3_14325	msp_0342:0.3447786013786874,msp_0634:0.5800189598686176,msp_0958:0.075202438752695
ext_mOTU_v3_26998	msp_0916
ext_mOTU_v3_17688	msp_0145:0.7437902058809222,msp_0202:0.2562097941190779
ext_mOTU_v3_26767	msp_0046
ref_mOTU_v3_05139	msp_0436
ext_mOTU_v3_18098	msp_1168
meta_mOTU_v3_14494	msp_1576
ext_mOTU_v3_19491	msp_0380:0.0047585510086287025,msp_0602c:0.05508659594138399,msp_0742:0.10333319305680541,msp_0974c:0.04248497011489733,msp_1543:0.12526345944717643,msp_1599:0.2538830843872148,msp_1702:0.4151901460438935
ext_mOTU_v3_16388	msp_0185:0.0076254327118005704,msp_0382:0.9923745672881995
ref_mOTU_v3_07674	msp_0630
ext_mOTU_v3_33429	msp_1237:0.11904408472291203,msp_1265:0.8809559152770879
meta_mOTU_v3_12803	msp_0420
ext_mOTU_v3_16301	msp_0106:0.0007537256000150157,msp_0291:0.0008836664025146489,msp_0588:0.4620919448398065,msp_0654:0.00021625394700306613,msp_1443:0.5360544092106609
ext_mOTU_v3_17930	msp_0861
meta_mOTU_v3_12547	msp_0487
meta_mOTU_v3_12646	msp_1049
ref_mOTU_v3_07731	msp_0270
meta_mOTU_v3_13648	msp_0749
ext_mOTU_v3_16398	msp_0560
ext_mOTU_v3_26458	msp_1715
ext_mOTU_v3_17841	msp_1981
ext_mOTU_v3_26221	msp_1393
meta_mOTU_v3_13701	msp_0076:0.6366000697185392,msp_0162:0.36339993028146084
ext_mOTU_v3_17411	msp_0840
ref_mOTU_v3_11469	msp_1525
meta_mOTU_v3_13825	msp_0532
meta_mOTU_v3_12528	msp_0013
meta_mOTU_v3_12484	msp_0137
ext_mOTU_v3_17975	msp_0310
ref_mOTU_v3_07701	msp_0475
meta_mOTU_v3_12611	msp_0502
meta_mOTU_v3_13366	msp_1425
ref_mOTU_v3_04329	msp_0482
ref_mOTU_v3_03610	msp_0527
ext_mOTU_v3_17833	msp_0016:8.937786701896156e-05,msp_0658:0.00039954790659489783,msp_1982:0.9995110742263862
ref_mOTU_v3_07630	msp_1049
ref_mOTU_v3_07682	msp_1003
ext_mOTU_v3_26770	msp_0342:0.2042286073291658,msp_0478:0.018187689498962864,msp_0552:0.003373505626805103,msp_0634:0.2805763282423822,msp_0958:0.020676534319055476,msp_1310:0.4729573349836285
meta_mOTU_v3_12575	msp_1042
ref_mOTU_v3_02508	msp_0100
meta_mOTU_v3_12309	msp_0917
meta_mOTU_v3_12661	msp_0215
ref_mOTU_v3_07584	msp_1286
ref_mOTU_v3_01039	msp_1805
meta_mOTU_v3_13081	msp_1343
ref_mOTU_v3_03929	msp_0132
ext_mOTU_v3_17536	msp_1098
meta_mOTU_v3_12742	msp_0464
