		kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466892	NPV	0.9967304997641365	0.9414137125855627	0.9874720357919744	0.9866310160405823
SAMEA2466892	FDR	0.29549248747419876	0.058823529408304494	0.07542579075242273	0.04325699745437005
SAMEA2466892	FOR	0.0032695002335280956	0.058586287412314614	0.012527964205788528	0.013368983957189464
SAMEA2466892	P_T	0.12272075394386396	0.034828928498258555	0.0842040565457898	0.08051628764597418
SAMEA2466892	P_F	0.877279246056136	0.9651710715017414	0.9157959434542102	0.9194837123540258
SAMEA2466892	FPRA	0.05416238437820871	0.002694501616700733	0.1383792993458952	0.006569198029240111
SAMEA2466892	FNRA	0.0045705027553024	0.2628189100800945	0.16424806728739882	0.04305473602095939
SAMEA2466892	F1	0.8154589371901889	0.5280528052718143	0.8972845336375763	0.907117008432966
SAMEA2466892	ACC	0.960868674449988	0.941405449701001	0.982175783648879	0.9842245441487724
SAMEA2466892	Dice	0.18454106280193236	0.47194719471947194	0.10271546635182999	0.09288299155609167
SAMEA2466893	TP	316.0	129.0	278.0	287.0
SAMEA2466893	FN	4.0	191.0	42.0	33.0
SAMEA2466893	FP	247.0	7.0	22.0	9.0
SAMEA2466893	TN	4314.0	4554.0	4539.0	4552.0
SAMEA2466893	TPR	0.9874999999691406	0.4031249999874023	0.8687499999728515	0.8968749999719726
SAMEA2466893	FPR	0.05415479061597423	0.0015347511510599985	0.004823503617617138	0.001973251479934284
SAMEA2466893	TNR	0.9458452093818333	0.9984652488467475	0.9951764963801903	0.9980267485178732
SAMEA2466893	FNR	0.012499999999609374	0.5968749999813476	0.13124999999589843	0.10312499999677734
SAMEA2466893	PPV	0.5612788632227126	0.948529411694961	0.9266666666357778	0.9695945945618379
SAMEA2466893	NPV	0.9990736452038003	0.959747102210833	0.9908316961340519	0.9928026172279328
SAMEA2466893	FDR	0.4387211367595254	0.05147058823150951	0.07333333333088889	0.030405405404378194
SAMEA2466893	FOR	0.000926354793883913	0.04025289778705953	0.009168303863765187	0.007197382769886156
SAMEA2466893	P_T	0.11534521614423274	0.027863142798606844	0.06146281499692686	0.06064331079696784
SAMEA2466893	P_F	0.8846547838557672	0.9721368572013932	0.9385371850030731	0.9393566892030322
SAMEA2466893	FPRA	0.09775674006997118	0.04971380994276191	0.0638295779152244	0.022097911048955116
SAMEA2466893	FNRA	0.0029399118026456	0.4635460936171771	0.1343659690209264	0.05168844934651708
SAMEA2466893	F1	0.7157417893463676	0.5657894736718029	0.896774193533923	0.9318181818030549
SAMEA2466893	ACC	0.9485761114506278	0.9594345421000626	0.9868879327986337	0.9913952058983991
SAMEA2466893	Dice	0.2842582106455266	0.4342105263157895	0.1032258064516129	0.06818181818181818
SAMEA2466894	TP	366.0	135.0	319.0	327.0
SAMEA2466894	FN	9.0	240.0	56.0	48.0
SAMEA2466894	FP	244.0	11.0	28.0	16.0
SAMEA2466894	TN	4262.0	4495.0	4478.0	4490.0
SAMEA2466894	TPR	0.9759999999739734	0.3599999999904	0.8506666666439822	0.8719999999767466
SAMEA2466894	FPR	0.054150022192511874	0.002441189525072257	0.006213936972911198	0.003550821127377828
SAMEA2466894	TNR	0.9458499778052689	0.9975588104727086	0.9937860630248696	0.996449178870403
SAMEA2466894	FNR	0.02399999999936	0.6399999999829333	0.14933333332935111	0.12799999999658668
SAMEA2466894	PPV	0.599999999990164	0.9246575341832426	0.9193083573222102	0.9533527696515057
SAMEA2466894	NPV	0.9978927651580476	0.9493136219620922	0.9876488751632385	0.9894226531489876
SAMEA2466894	FDR	0.3999999999934426	0.07534246574826421	0.08069164264897143	0.04664723031933973
SAMEA2466894	FOR	0.002107234839611081	0.05068637803579581	0.012351124834555909	0.010577346848808776
SAMEA2466894	P_T	0.12497439049375128	0.029911903298504405	0.0710919893464454	0.07027248514648637
SAMEA2466894	P_F	0.8750256095062487	0.9700880967014957	0.9289080106535546	0.9297275148535136
